no,Tgl_Iklan,url,harga_juta,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
49,18/03/2021,https://www.rumah123.com/properti/makassar/hos8049186/,6356,Makassar,210,151,5,4,0,0,1,0,2200,HGB,Rumah Mewah Citraland Losari di Hoek,Rumah Dijual Makassar Rumah 2 lantai type Sapphire posisi hoek
50,18/03/2021,https://www.rumah123.com/properti/makassar/hos8047249/,4500,Makassar,144,200,5,4,0,0,0,0,5500,SHM,Rumah Elegant & full perabot,Rumah Dijual Makassar Rumah Cluster Rafflesia Tg Bunga
51,18/03/2021,https://www.rumah123.com/properti/makassar/hos8047242/,980,Makassar,104,180,4,3,0,0,1,0,1300,SHM,Rumah Siap Huni MINASA UPA . Dekat jl. Hertasning baru,Rumah Dijual Makassar dekat jalan Hertasning Baru
52,18/03/2021,https://www.rumah123.com/properti/makassar/hos8046998/,6500,Makassar,450,450,10,6,0,0,1,0,5500,SHM,Rumah Komp. Haji Kalla,Rumah Dijual Makassar Lokasi strategis dekat Kantor Gubernur
53,18/03/2021,https://www.rumah123.com/properti/makassar/hos8046976/,1900,Makassar,144,190,4,4,0,0,1,0,2200,SHM,Rumah Siap Huni Dekat Kampus Umi,Rumah Dijual Makassar Lokasi strategis dekat Kampus Umi
54,18/03/2021,https://www.rumah123.com/properti/makassar/hos8046600/,899,Makassar,90,55,3,2,0,0,1,0,2200,SHM,Rumah 2 Lantai Harga 900 Jutaan Di Kawasan Citraland Tallasa City Makassar,Rumah 2 Lantai Di Kawasan Citraland Tallasa City Makassar
55,18/03/2021,https://www.rumah123.com/properti/makassar/hos8046564/,3750,Makassar,91,221,4,4,1,1,1,1,3300,HGB,Rumah 3 Lantai Siap Huni Posisi Hook Poros Pettarani Makassar,Sisa 1 Unit Hunian 3 Lantai Siap Huni Pusat Kota Makassar Lok. Poros Pettarani
56,18/03/2021,https://www.rumah123.com/properti/makassar/hos8046559/,3640,Makassar,252,267,4,3,1,1,1,1,3500,SHM,Rumah Premium 2 Lantai Kawasab Berkembang Citraland Tallasa City Kota Makassar,"Dikembangkan developer nasional 1 Ciputra, di lahan kota mandiri baru seluas 750 hektar dan dikelilingi oleh *Mall Ciputra, Universitas Binus, Mitra 10, Sekolah Citra Kasih, Waterboom & Club House"
57,18/03/2021,https://www.rumah123.com/properti/makassar/hos8046546/,2906,Makassar,180,220,4,3,1,1,1,1,3300,SHM,Rumah Premium 2 Lantai Di Kawasan Citraland Tallasa City Makassar,Type AMETHYST
58,17/03/2021,https://www.rumah123.com/properti/makassar/hos8045108/,650,Makassar,119,80,2,2,0,0,1,0,1300,SHM,"Rumah di Makassar, jln hertasning Minasa Upa Luas 7 x 17 SIAP HUNI, Bebas banjir",Dipasarkan rmh type 70/119 (7 X 17)
59,17/03/2021,https://www.rumah123.com/properti/makassar/hos8044756/,1900,Makassar,214,68,3,2,0,0,0,0,1300,SHM,Rumah Sudut Rafflesia,Rumah Dijualsewa Makassar Rumah Sudut
60,17/03/2021,https://www.rumah123.com/properti/makassar/hos8044170/,3400,Makassar,102,125,3,3,1,1,1,0,2200,HGB,Rumah Mewah Citraland Losari,Rumah Dijual Makassar Rumah 2 lantai
61,16/03/2021,https://www.rumah123.com/properti/makassar/hos8039424/,990,Makassar,126,105,3,1,0,0,1,0,2200,SHM,Rumah 1 lantai Blossom,Rumah Dijual Makassar pintu dan jendela sudah tralis besi
62,16/03/2021,https://www.rumah123.com/properti/makassar/hos8039490/,2350,Makassar,174,225,5,5,0,0,1,0,1300,SHM,Rumah Cantik,Rumah Dijual Makassar Rumah sudut
63,16/03/2021,https://www.rumah123.com/properti/makassar/hos8039155/,1500,Makassar,125,217,2,2,0,0,0,1,900,SHM,Rumah Barombong,Rumah Dijual Makassar
64,16/03/2021,https://www.rumah123.com/properti/makassar/hos8039401/,950,Makassar,84,84,3,2,0,0,0,0,2200,SHM,Rumah Halmin,Rumah Dijual makassar
65,15/03/2021,https://www.rumah123.com/properti/makassar/hos8033389/,417,Makassar,78,45,2,1,0,0,1,0,1300,HGB,Rumah Baru Minimalis Ville Park,Rumah Dijual Makassar Rumah Baru
66,15/04/2021,https://www.rumah123.com/properti/makassar/hos8034848/,2400,Makassar,126,107,4,3,0,0,0,1,2200,SHM,Sudah Renovasi Rumah new Jasmine Tanjung bunga,Rumah dijual makassar
67,15/03/2021,https://www.rumah123.com/properti/makassar/hos8034546/,2350,Makassar,216,450,5,5,0,0,1,0,1300,SHM,Rumah Cantik,Rumah dijual Makassar Rumah Sudut
68,15/03/2021,https://www.rumah123.com/properti/makassar/hos8032597/,2547,Makassar,198,102,4,3,1,1,1,0,3300,SHM,Rumah 2 Lantai Siap Huni Citraland Celebes Hertasning Makassar,type majesty
69,15/03/2021,https://www.rumah123.com/properti/makassar/hos8037259/,1000,Makassar,128,49,2,2,0,0,0,0,2200,SHM,Rumah murah tengah kota,Araland Residence merupakan perumahan dalam kota yg sangat dekat dekat Pettarani dengan one gate system
70,15/03/2021,https://www.rumah123.com/properti/makassar/hos8034968/,3800,Makassar,609,600,3,1,0,0,0,0,5500,SHM,Gedung dijalan protokol makassar,Gedung pernah disewa bank di jalan Ratulangi Makassar.
71,15/03/2021,https://www.rumah123.com/properti/makassar/hos8034289/,1700,Makassar,194,120,3,3,0,0,0,0,1300,SHM,Rumah sudah Renovasi 1 lantai Tanjung bunga,Rumah Dijual Makassar Amaryllis Calesta
72,14/03/2021,https://www.rumah123.com/properti/makassar/hos8032484/,2023,Makassar,144,162,3,3,1,1,0,0,3300,SHM,Rumah premium 2 lantai kawasan summarecon Makassar claster Jade 1 unit,Rumah Premium Dengan Konsep Classic Timeless di Kawasan Kota Mandiri Summarecon Mutiara Makassar
73,14/03/2021,https://www.rumah123.com/properti/makassar/hos8032474/,2760,Makassar,128,145,3,4,1,1,1,0,3300,SHM,"Rumah mewah 2 lantai  tengah kota Makassar,jalan Monginsidi baru",Segera Dapatkan Hunian Mewah Eksklusif di Jantung Kota Makassar
74,14/03/2021,https://www.rumah123.com/properti/makassar/hos8032472/,858,Makassar,105,100,3,2,0,0,1,0,2200,SHM,Runah 2 Lantai Dekat Bandara dan Poros Perintis Sudiang Makassar,Tipe Primerose
75,14/03/2021,https://www.rumah123.com/properti/makassar/hos8031483/,441,Makassar,72,40,2,1,0,0,1,0,1300,SHM,Rumah minimalis dekat dari bandara Hasanuddin perintis sudiang kota makassar,Rumah siap Huni type 40/72  2 kmr tdur 1 kmr mndi
76,14/03/2021,https://www.rumah123.com/properti/makassar/hos8031399/,2100,Makassar,128,128,3,3,1,1,0,0,3300,SHM,Full renovasi harga miring,Lokasi perumahan elite Makassar dan Gowa jaminan berbagai fasilitas Citra Land City Tun Abdul Razak.
77,13/03/2021,https://www.rumah123.com/properti/makassar/hos8029393/,400,Makassar,84,45,2,1,0,0,1,0,1300,SHM,Rumah Minimalis Haska Borong Graha Tengah Kota Makassar,Dipasarkan Rumah Tengah Kota Makassar Haska Borong Graha Mulai Type 45/84
78,13/03/2021,https://www.rumah123.com/properti/makassar/hos8029351/,9172,Makassar,90,55,2,1,0,0,1,0,2200,SHM,Citraland Tallasa City,Rumah dijual Makassar
79,13/03/2021,https://www.rumah123.com/properti/makassar/hos8029309/,2500,Makassar,240,240,2,2,0,0,0,0,2200,SHM,Rumah Tua,Rumah Dijual Makassar Nego
80,12/03/2021,https://www.rumah123.com/properti/makassar/hos8027666/,587,Makassar,84,70,3,2,0,0,1,0,2200,SHM,"RUMAH 2 LANTAI MURAH di Makassar, dekat BULOG, Kantor Gubernur, MALL NIPAH, Kampus UMI",Rumah 2 lantai murah di makassar
81,12/03/2021,https://www.rumah123.com/properti/makassar/hos8017312/,650,Makassar,104,80,4,3,0,0,0,0,1300,SHM,Rumah Mewah 2 Lantai Harga Promo Lokasi Sudiang,"Rumah Mewah 2 Lantai Harga Promo Lokasi Sudiang
Rumah mewah 2 Lantai lokasi strategis di Sudiang dilengkapi fasilitas security 24 jam,mesjid,taman bermain anak,taman hijau dan jogging area
Segera hubungi nomor kami yang tertera diiklan ini"
82,12/03/2021,https://www.rumah123.com/properti/makassar/hos5603737/,8000,Makassar,400,500,6,5,1,1,2,2,4400,SHM,Rumah MEWAH 6 kamar lengkap dengan perabot di Citraland Makassar,"Rumah MEWAH 6 kamar lengkap dengan perabot di Citraland Makassar
Rumah Mewah 6 kamar ( 4 kamar dengan kamar mandi dalam)
Dapur basah dan dapur bersih, Garasi 2 Mobil, Carport 2 Mobil, saringan air bersih, 2 provider internet, CCTV, Lengkap perabot"
83,11/03/21,https://www.rumah123.com/properti/makassar/hos8021775/,680,Makassar,108,60,3,2,0,0,1,0,2200,SHM,Rumah murah minimalis siap huni di tengah kota Hertasning rapocini kota Makassar,"Rumah Baru Siap Huni Lokasi Hertasning Makassar

Hunian eksklusif modern di daerah strategis dalam kota makassar, desain mewah dengan perpaduan warna yang elegant. Type 60, luas tanah 6.18 dan hanya di bandrol dengan harga 680

Di wilayah hertasning sangat sulit mendapatkan hunian dengan luas tanah seperti ini, apalagi dalam kondisi baru. tersedia 1 unit lagi!!!

# 7 Menit dari Pettarani
#7 Menit dari kampus UNM
#Dekat dari perkantoran dan Pusat Kota
#Dekat dari pasar tradisonal
#Dekat dari sarana pendidikan, SD, SMP, SMA & Kampus

Kebijakan Developer :
-Tidak termakasud BPHTB, AJB, Balik Nama, PPH dan Notaris
-Tidak termaksud biaya AKAD KREDIT

Info lebih lanjut hub: Ardi Gold property 99. Telp/wa no profil"
84,11/03/21,https://www.rumah123.com/properti/makassar/hos8021203/,1650,Makassar,153,200,5,4,0,0,0,0,2200,SHM,Rumah Mewah 2 Lantai lokasi pusat kota Makassar jalan Pengayoman,"Hunian mewah lokasi strategis di pengayoman belakang Mall Panakkukang
2 lantai di lengkapi fasilitas security dan mesjid

Akses dekat kemana mana,dekat dari semua fasilitas umum."
85,10/03/21,https://www.rumah123.com/properti/makassar/hos8018873/,395,Makassar,78,45,2,1,0,0,0,0,900,SHM,rumah cantik minimalis dekat dari kampus Unhas kota Makassar,"Rumah Baru Tengah Kota Makassar

Terletak dilokasi yang paling banyak di incar dalam kota makasaar,
lokasi dekat dengan kampus Unhas.uim.dan STIMIK.

#harga 395jt (CASH). sangat kompetitif tanpa mengurangi kuwalitas bangunan!!!

Tersedia TYPE
Type 45/ 78 1 lantai

tidak perlu ragu, hunian ini dekmbangkan oleh developer terpercaya dan telah banyak membangun perumhan dalam kota. buruan kunjungi lokasi kami sebelum kehabisan. unit terbatas!!!

Info lengkap hub: ARDi Gold99 property. Bisa TLP/wa no profil"
86,10/03/21,https://www.rumah123.com/properti/makassar/hos8018867/,2000,Makassar,91,60,3,2,0,0,1,0,1300,SHM,Rumah siap Huni dkt Jl. Perintis kemerdekaan,Rumah Dijual Makassar
87,10/03/21,https://www.rumah123.com/properti/makassar/hos8018684/,1000,Makassar,60,60,3,2,0,0,1,0,1300,SHM,"2 lantai, pusat kota, kawasan elit, modern","Rumah Dijual Makassar Rumah mewah dalam komplek Golden Park, ready stok"
